Title,Price,what_you_learn,Slug,instructor
Pharmacovigilance: A New Frontier,93,"Understand the fundamental concepts and principles of pharmacovigilance, including its role in drug safety monitoring and public health.Identify adverse events (AE) and differentiate between common AE and serious adverse drug reactions (ADR), enabling effective reporting and response.Familiarize oneself with the reporting criteria and guidelines for pharmacovigilance, ensuring compliance with regulatory requirements and best practices.Gain proficiency in recognizing special situations that warrant immediate attention in pharmacovigilance, such as medication errors, product quality issues, and off-label drug use.Appreciate the significance of timely and accurate pharmacovigilance reporting in promoting patient safety, enhancing drug surveillance systems, and contributing to evidence-based decision-making in healthcare.",pharmacovigilance-a-new-frontier-fMPe,Md. Sadman Hasib
Mastering Google Calendar: From Basics to Advanced,53,"Understand the fundamental features and functionality of Google Calendar, including navigation, views, and customization options.Learn how to efficiently manage events, appointments, and tasks within Google Calendar, from creating quick events to setting detailed appointments.Master advanced techniques for optimizing productivity, such as managing time zones, utilizing insights, and setting focus times and work hours.Explore collaboration tools within Google Calendar, including sharing calendars, responding to event invitations, and managing shared events effectively.Gain proficiency in using Google Calendar add-ons, setting availability preferences, and customizing settings to suit individual needs and preferences.",mastering-google-calendar-from-basics-to-advanced-6nXG,Nafees Imran
Introduction to Environmental Sustainable Development Goals (SDGs),54,Understand the origin and relevance of SDGs on a global scale.Grasp the significance of freshwater resources and the importance of sanitation.Differentiate between renewable and non-renewable energy sources.Recognize the environmental challenges of urbanization.Identify the environmental implications of consumer behaviors.,introduction-to-environmental-sustainable-development-goals-sdgs-1cNg,Nadia Anzum
Introduction to Optics,63,"Understanding of the crucial role optics plays in modern civilizationRelate wave theory to common phenomenaAbility to apply mathematical aspects in understanding Young's Experiment and the mathematical principles of interferenceUnderstanding of diffraction principles in wave optics, exploring diverse diffraction patterns, and applying this knowledge to real-world scenariosUnderstanding of light and polarization fundamentals, attaining proficiency in various polarization techniques, and applying these concepts to a range of applications",introduction-to-optics-ygmo,Shahina Haque
"Feminist Discourses on Gender, Equality, and Social Justice",96,The objectives of a feminism course can vary depending on the specific focus and level of the course. Here are some general objectives of the current course: •	Understanding the Historical Context•	Examining Feminist Theories•	Analyzing Gender Inequality•	Exploring Intersectionality•	Critiquing Patriarchy•	Examining Representation and Media,feminist-discourses-on-gender-equality-and-social-justice-K5DB,Ariful Islam Laskar
Unlocking Leadership: The Voluntary Journey,60,"Develop an understanding of the core principles and concepts of effective leadership within the context of volunteering.Equip participants with essential skills and strategies for engaging and involving volunteers in meaningful ways.Foster personal growth and leadership development by identifying and nurturing individual leadership qualities and strengths.Provide insights into the importance of ethical conduct, manners, and etiquette in volunteer leadership, and how to apply them effectively.Empower participants to balance responsibilities, manage challenges, and cultivate a vision for future volunteer initiatives, thereby maximizing their impact and success in leadership roles.",unlocking-leadership-the-voluntary-journey-84lW,Md Nazmul Hasan
Meds made easy: Medication management at Home,96,"Explore tablets, capsules, liquids, inhalers, and sprays, learning proper administration techniques for each.Decipher label information, including medication name, dosage, frequency, route of administration, and side effects.Discover best practices for storing medications to maintain their effectiveness and prevent accidental ingestion or harm.Learn about adherence strategies to ensure you take your medications correctly and consistently.Identify potential side effects and understand how to manage them appropriately.",meds-made-easy-medication-management-at-home-UML3,Mohammad Touhidul Islam
"Fundamental of Computer Networking: IPv4, Subnetting, and Basic Configuration by Cisco Packet Tracer",89,"Understand IPv4 classes, addressing, and default masks.Gain proficiency in subnetting Class C networks.Learn to configure Cisco network devices using static connections, RIP protocols, and DNS setups.Acquire hands-on experience in configuring peer-to-peer connections with hubs, switches, and routers.Utilize Packet Tracer for creating and simulating network topologies.",fundamental-of-computer-networking-ipv4-subnetting-and-basic-configuration-by-cisco-packet-tracer-HrWa,Md. Monirul Islam
Major Nutritional Deficiency Diseases in Emergencies,89,"Gain a deeper understanding of the various nutritional deficiencies that can occur during emergencies.Assess the nutritional status of populations affected by emergencies.Develop and implement strategies for preventing and treating nutritional deficiencies in emergencies.Learn about the various factors that can affect nutritional status during emergencies, including food availability, access, and utilization.Recommend appropriate vitamin and mineral supplementation programs.Learn how to address the challenges in a timely and effective manner. ",major-nutritional-deficiency-diseases-in-emergencies-EoII,Fouzia Akter
Introduction to Complexity Analysis,56,"Understand the foundational principles of complexity analysis in algorithmic efficiency.Identify and analyze various time complexities including constant, linear, quadratic, cubic, logarithmic, square root, factorial, and exponential complexities.Gain proficiency in evaluating algorithmic efficiency through practical exercises and examples.Explore space complexity and its impact on algorithm efficiency, particularly focusing on linear complexity.Develop the skills necessary to analyze and optimize algorithms effectively in real-world applications based on complexity analysis.",introduction-to-complexity-analysis-XiXP,Md. Ferdouse Ahmed Foysal
The Art of Effective Time Management,57,"Understand the fundamental principles of time management and their impact on productivity and overall well-being.Identify common barriers to effective time management and develop strategies to overcome them.Learn how to set SMART goals and effectively communicate them to others to ensure clarity and alignment.Acquire techniques for managing meetings efficiently, including agenda setting, time allocation, and follow-up actions.Explore various time management tools and techniques, such as the Time Management Matrix, to prioritize tasks effectively and maximize productivity.",the-art-of-effective-time-management-kq6u,Rathindra Nath Das
Basic Biology to start Bioinformatics (Part 1),59,Understand Fundamental Biological ConceptsExplore Data Analysis TechniquesFamiliarize with Structural Biology ConceptsIntegrate Computational and Biological KnowledgeExplore practical applications of biology in bioinformatics,basic-biology-to-start-bioinformatics-part-1-NeZa,Shahrin Khan
Introduction to Python Programming,58,"Understand the fundamental concepts of Python programming, including variables, data types, and basic arithmetic operations.Learn how to approach and solve programming problems using Python, gaining confidence in your ability to tackle various coding challenges.Develop a strong understanding of essential programming constructs such as branching and iteration, enabling you to write efficient and effective Python code.Gain hands-on experience working with key data structures in Python, including strings and lists, and learn how to manipulate and utilize them to solve real-world problems.Learn how to write user-defined functions to encapsulate logic and promote code reusability, enhancing the maintainability and scalability of your Python programs.",introduction-to-python-programming-VIdl,Md. Mahedi Hassan
TOEFL (Test of English as a Foreign Language),100,"Understand the structure and format of the TOEFL exam, including the different modules and question types in each section.Develop strong vocabulary skills by learning and practicing commonly tested words and phrases relevant to the TOEFL exam.Master various reading comprehension strategies to effectively tackle different types of questions, such as the author’s purpose, passage summary, and detail questions.Enhance listening skills by familiarizing oneself with different accents and speech patterns through practice exercises and sample audio recordings.Improve speaking and writing proficiency by practicing responses to different prompts and receiving feedback on pronunciation, coherence, and grammar usage.",toefl-E0iw,Galib Muhammad Abrar Ishtiaque
Introduction to Finite Element Analysis,62,"Understand the principles of finite element analysis technique used in solid mechanics, heat transfer, electromagnetics, vibration, and fluid mechanicsImplement FEA to produce engineering solutions for different real life problemsA holistic approach on how to solve an engineering problems following the major steps of FEAValidation technique of FEA approximation through experimental and analytical approachesPrepare a design of an object with multifunctional properties based on the purposes and find the critical issues that compromise the performance ",introduction-to-finite-element-analysis-jB2R,Mohammad Tauhiduzzaman
RNAseq data analysis for Cancer Research,87,"Understand the basics of RNA sequencing technology Perform data preprocessing, quality control, and normalization of RNAseq dataIdentify differentially expressed genes between cancer and normal samples using Python and R/BioconductorApply machine learning techniques for cancer prediction Analyze and interpret RNAseq data from TCGA to predict cancer outcomes",rnaseq-data-analysis-for-cancer-research-BEjd,Md. Ali Hossain
Reinforced Concrete Beam Analysis by Using the FEA Software Package Abaqus,88,"Gain a comprehensive understanding of finite element analysis (FEA) principles and its application to reinforced concrete beam analysis.Develop proficiency in using the Abaqus software package for modeling, simulating, and analyzing reinforced concrete structures.Learn the step-by-step process of creating finite element models for reinforced concrete beams, including part creation, property assignment, and meshing.Acquire practical skills in defining realistic loads, interactions, and boundary conditions to accurately simulate the behavior of reinforced concrete beams under various loading conditions.Master the interpretation and visualization of analysis results to derive meaningful insights into the structural performance of reinforced concrete beams and make informed engineering decisions.",reinforced-concrete-beam-analysis-by-using-the-fea-software-package-abaqus-eSl9,Md Mehedi Hassan Bhuiyan
AutoCAD for Engineering Students,62,"Gain a comprehensive understanding of the AutoCAD user interface and navigation techniques to efficiently maneuver through the software.Develop proficiency in utilizing essential drawing tools and commands provided by the Draw Toolbar for creating accurate and detailed engineering designs.Learn advanced editing and modification techniques using the Modify Toolbar to refine and adjust drawings according to specific requirements.Acquire skills in dimensioning and annotating drawings effectively using the Dimension Toolbar, ensuring clarity and precision in engineering documentation.Master the creation of plan, elevation, and section views, along with the annotation of these views, to communicate design concepts accurately and professionally in engineering projects.",autocad-for-engineering-students-2jj0,Md. Masud Rana
Hands on HTML within 1 Hour,59,"Understand the fundamental concepts of HTML, including its structure, syntax, and purpose in web development.Learn how to use HTML tags effectively to create well-structured and semantically meaningful web content.Gain proficiency in incorporating various HTML elements such as headers, paragraphs, lists, tables, forms, and images into web pages.Develop the skills to create hyperlinks and embed multimedia content, enhancing the interactivity and visual appeal of web pages.Master the art of building basic web layouts and structures using HTML, laying a solid foundation for further exploration in web development technologies.",hands-on-html-within-1-hour-3rqi,Md. Firoz Hasan
Basic Excel for Undergraduate Students,53,"Familiarize students with the basic functionalities of Excel, including creating, saving, and navigating through spreadsheets.Teach students how to input and manipulate data effectively using Excel, including adding or deleting rows, and opening new sheets.Introduce students to a variety of chart types and teach them how to create visually appealing charts and graphs for data visualization purposes.Provide students with an understanding of essential Excel functions such as Sum, Average, Count, Round, Max, Min, and Len, enabling them to perform basic calculations and data analysis.Enable students to apply Excel functions and features to real-world scenarios, such as managing research data, creating academic presentations, and organizing information efficiently.",basic-excel-for-undergraduate-students-qr4X,Ahad Ullah
Importance of Technical Textiles,74,"Understand the fundamental concepts and classifications of technical textiles, including their unique properties and applications across different industries.Explore the diverse range of technical textiles, from Hometech to Geotech, and gain insight into their specific uses and benefits in various sectors.Learn about the manufacturing processes involved in producing technical textiles, from raw material selection to fabrication techniques, to appreciate the complexity of their production.Gain knowledge of the marketing strategies employed for promoting technical textiles and understand the factors influencing consumer preferences and industry trends.Analyze the environmental impact of technical textiles and explore emerging trends in sustainable textile production, enabling informed decision-making for environmentally conscious textile solutions.",importance-of-technical-textiles-Ses3,Prof. Dr. Mahbubul Haque
Introduction to Python,91,"Identify core aspects of programming and features of the Python languageUnderstand and apply core programming concepts like data structures, conditionals, loops, variables, and functionsUse different tools for writing and running Python codeDesign and write fully-functional Python programs using commonly used data structures (List, Tuple, Set, Dictionary) and functions (Library function, User Defined function).",introduction-to-python-ukY2,Mr. Israfil
The AI-Powered Photoshop: Creating Stunning Visuals and Designs with AI Technology,69,"Understand the fundamental principles and features of Photoshop, including its interface, tools, and customization options.Master advanced Photoshop techniques such as color correction, retouching, and non-destructive editing to enhance the quality of images and designs.Explore the integration of AI technology into Photoshop workflows, including AI-powered plugins and tools for tasks like portrait retouching and background removal.Learn advanced techniques such as masking, liquify tool usage, and creating perspective effects to create visually stunning compositions and designs.Develop proficiency in exporting files in various formats and performing final project tasks, including color correction and applying filters for professional-quality output.",the-ai-powered-photoshop-course-creating-stunning-visuals-and-designs-with-ai-technology-upBl,Md Shafikul Islam Shuvro
Introduction to Big Data,97,"Gain a comprehensive understanding of the concept of Big Data and its significance in various industries.Learn how to leverage Big Data analytics to extract valuable insights and make data-driven decisions.Acquire practical skills in using essential tools and technologies such as APACHE SQOOP, HIVE, and PIG for Big Data processing.Develop proficiency in setting up the environment and configuring tools to effectively handle large datasets.Explore data processing techniques and model implementation strategies to extract actionable intelligence from Big Data sources.",introduction-to-big-data-E4iQ,Amir Sohel
Python Made Easy: 100% Hands-on Learning,78,"Understand the core concepts of Python programming, including variables, data types, arithmetic operations, conditional statements, and loops.Develop practical skills through hands-on exercises and lab sessions, allowing you to apply theoretical knowledge to real-world coding scenarios.Cultivate problem-solving abilities by tackling various programming challenges using Python, enhancing your analytical thinking and logical reasoning.Discover best practices for writing clean, efficient, and maintainable Python code, enabling you to create robust solutions to complex problems.Lay a solid foundation for further exploration of Python programming by familiarizing yourself with essential concepts and techniques that form the basis for more advanced topics in the language.",python-made-easy-100-hands-on-learning-2mc9,Afjal Hossan Sarower
Analysis and Design of Shallow Foundations Using Conventional Methods,93,"Understand the fundamental principles and factors governing foundation analysis and design in civil engineering.Learn to identify and evaluate the parameters influencing the selection and design of shallow foundations.Explore conventional theories used in foundation analysis and design, including their assumptions, limitations, and modifications.Gain practical experience through the analysis and design of shallow foundations using conventional methods.Develop the ability to apply theoretical knowledge to real-world engineering scenarios, enhancing problem-solving and analytical skills in foundation design.",analysis-and-design-of-shallow-foundations-using-conventional-methods-wGwZ,Mohammad Mominul Hoque
Introduction to Basic C Programming,74,"Gain a solid understanding of programming fundamentals: Learn the basic concepts of programming, including variables, data types, control flow, and input/output operations, laying a strong foundation for further learning.Master the C programming language: Acquire proficiency in writing, compiling, and executing C programs, becoming familiar with the syntax, structure, and features of the language.Develop problem-solving skills: Practice solving programming challenges and exercises to sharpen your problem-solving abilities, learning how to approach and tackle coding problems effectively.Learn essential programming techniques: Explore essential programming techniques such as using loops, conditional statements, and functions to create efficient and structured programs.Prepare for coding assessments and competitions: familiarize yourself with common coding interview questions, practice solving coding problems, and gain experience using online judges to assess and evaluate your code, preparing you for coding assessments and competitions.",introduction-to-basic-c-programming-vmEB,Mayen Uddin Mojumdar
Civil Engineering Career Discussion and Job Preparation,57,"Gain a comprehensive understanding of the various career divisions within civil engineering, including opportunities in government sectors and other institutions.Develop in-depth knowledge about the recruitment processes, job requirements, and career growth prospects in government jobs specific to civil engineering.Analyze and dissect the syllabus for government job examinations, such as the BCS Technical exam, to effectively prepare and strategize for success.Explore alternative career paths and additional opportunities available to civil engineers beyond traditional government jobs, broadening horizons and diversifying career options.Equip participants with the essential skills, tools, and strategies required to navigate the job market successfully and embark on a fulfilling career journey in civil engineering.",civil-engineering-career-discussion-and-job-preparation-5oTw,Md. Imran Hasan Bappy
Introduction to Simple Interest & Bank Discount,53,"Calculate the Capital or Principal, Interest earned, Time and Interest rate.Calculate the Future Value of a Principal over a period of time.Calculate the Proceed & Maturity Value of Bank discount. Calculate the relationship between Bank discount rate & Interest rate.",introduction-to-simple-interest-bank-discount-6wW3,Anuz Kumar Chakrabarty
Measurement of Different Types of Garments,52,"Understand the fundamental principles and techniques of garment measurement, including key measurements and their significance in garment construction.Learn how to accurately measure various parts of the body to ensure proper fit and comfort for different types of garments.Gain proficiency in translating body measurements into garment specifications, including allowances for ease and style preferences.Develop practical skills through hands-on demonstrations and exercises, enabling you to apply measurement techniques effectively in real-world garment-making scenarios.Acquire the knowledge and confidence to conduct garment measurements independently, whether for personal use, fashion design, or professional tailoring services.",measurement-of-different-types-of-garments-0tE8,Abdullah Al Mamun
Computer Fundamentals,58,"Gain an understanding of computer system components and their functions.Learn about different types of operating systems and their features.Introduction to Input Output devices, processor and memory.Explore relationship between hardware and software along with various software applications and their roles in computing.Computer languages and programming",computer-fundamentals-rsnH,Amatul Bushra Akhi
Database Management System Concepts,73,"Understand the fundamental principles and concepts of database management systems (DBMS), including data organization, storage, and retrieval.Gain proficiency in designing relational schemas and creating Entity-Relationship (ER) models to represent real-world data structures effectively.Develop practical skills in writing SQL queries to manipulate and retrieve data from databases, covering both basic and advanced query operations.Explore advanced database management topics such as normalization, transactions, triggers, and stored procedures to ensure data integrity and optimize database performance.Apply theoretical knowledge to practical scenarios by implementing database solutions, analyzing database designs, and troubleshooting common database issues effectively.",database-management-system-concepts-P44M,Mr. Fourcan Karim Mazumdar
Figurative Language Mastery,90,"Develop a comprehensive understanding of various figures of speech, including simile, metaphor, personification, hyperbole, oxymoron, alliteration, paradox, consonance, assonance, and symbol.Explore the unique characteristics, functions, and impact of each figure of speech on writing and communication.Hone the ability to recognize, interpret, and employ figures of speech effectively in diverse forms of writing, such as narratives, arguments, and poetry.Enhance communication skills by mastering the art of figurative language, enabling students to craft compelling, resonant, and vivid language that captivates and inspires audiences.Empower students to become adept wordsmiths, equipped with the knowledge and skills to wield figurative language with precision, creativity, and depth in their own writing endeavors.",figurative-language-mastery-dULL,Ms. Farjana Yesmin
SDLC Essentials: A Dive into Development Phases,84,"Gain a comprehensive understanding of the Software Development Life Cycle (SDLC) and its essential phases, including planning, analysis, design, coding, testing, deployment, and maintenance.Learn the key principles, methodologies, and best practices associated with each phase of the SDLC to effectively manage and execute software development projects.Develop practical skills in requirements gathering, feasibility analysis, system design, coding standards, testing techniques, deployment strategies, and ongoing maintenance activities.Explore real-world case studies and examples to illustrate how SDLC principles are applied in different software development scenarios, enabling you to identify and address common challenges and issues.Acquire the knowledge and expertise needed to collaborate effectively with cross-functional teams, stakeholders, and clients throughout the software development lifecycle, ensuring successful project outcomes and delivering high-quality software solutions.",sdlc-essentials-a-dive-into-development-phases-wkS3,Tapasy Rabeya
Introduction to Graph Theory,50,"To comprehend the various terminologies and classifications of graphs.Determine whether a graph is connected or not and find the number of connected components, which is essential in network reliability analysis and social network analysis.Implement and analyze graph representations using adjacency matrices, edge list and adjacency lists.Determine the minimum number of colors required to color the vertices of a graph such that no adjacent vertices share the same color, which has applications in scheduling, map coloring and register allocation in compilers.Find spanning trees (sub graphs that are trees and include all vertices of the original graph) with minimum weight or minimum cost, useful in network design and power distribution systems.Develop algorithms (Dijkstra's and Bellman-Ford) to find the shortest path between two vertices in a graph, which is crucial in navigation systems and network routing protocols.Apply traversal algorithms (BFS and DFS) to explore and manipulate data structures efficiently.",introduction-to-graph-theory-ziGM,Md. Mehedi Hassan
Fundamentals of SDLC & SDLC Models,59,"Understanding of SDLC Concepts: Participants will gain a solid understanding of the concept of SDLC, its importance in software development, and its role in ensuring the successful delivery of software projects.Participants will be able to identify and describe the various phases of the SDLC, including requirements gathering, analysis, design, implementation, testing, deployment, and maintenance.Participants will learn about different SDLC models such as Waterfall, Agile, Iterative, Spiral, and DevOps. They will understand the characteristics, advantages, and disadvantages of each model and their suitability for different types of projects.Participants will develop the skills to evaluate project requirements, stakeholder needs, and organizational constraints to select an appropriate SDLC model for a given project. They will learn how to tailor and adapt SDLC models to meet project-specific requirements.Practical Application: Participants will be able to apply theoretical knowledge to real-world scenarios through case studies and projects.",fundamentals-of-sdlc-sdlc-models-AdI7,Ms. Naznin Sultana
Basic Knowledge of the Heart of Spinning,90,The learners will learn fundamental knowledge of ring spinning as well carding processThe learners will learn how the carding machine worksThey will learn about the functions of different parts of the carding machineThey will gain knowledge about the recent development of carding machine,basic-knowledge-of-the-heart-of-spinning-sY5K,Alamgir Hossain
Yarn Manufacturing Process: An Overview,53,"Understand the fundamental concepts of yarn manufacturing, including the classification of yarn types, to establish a strong foundation for further learning.Explore the sequential stages of the yarn manufacturing process, from the Blow Room to the Ring Frame, gaining insights into the machinery and techniques employed at each step.Acquire practical knowledge of essential yarn manufacturing equipment such as the Carding machine, Drawing Frame, Comber, and Simplex Frame, to effectively operate and troubleshoot these machines.Analyze the significance of each stage in the yarn manufacturing process, identifying key principles and best practices to ensure the production of high-quality yarns.Develop the skills necessary to evaluate and select appropriate yarn manufacturing techniques and equipment, enabling informed decision-making in choosing the most suitable methods for specific textile production requirements.",yarn-manufacturing-process-an-overview-TmYv,Md. Manik Parvez
Textile Testing & Quality Control Part-I,56,"Object, Importance, process flow, quality cycle of Textile Testing and Quality Control.Sampling: Discussion on the importance of Sampling.Significant directions regarding Moisture and Humidity.Important discussion on Fiber properties.Necessity of Yarn Count and Yarn Twist.",textile-testing-quality-control-part-i-iQmT,Md. Mashud Raihan
Cyber Safeguard: Navigating Common Threats for Newbies,86,"Understand the fundamentals of cybersecurity and its key elements.Identify and comprehend the principles underlying effective cybersecurity practices.Recognize different types of cyber attacks, including phishing, identity theft, malware, DDOS, and ransomware attacks.Learn about common cyber attack methodologies and how they can impact individuals and organizations.Acquire strategies and knowledge to mitigate and respond to various cyber threats effectively.",navigating-common-threats-for-newbies-YCku,Lamia Rukhsara
Introduction to IP Addressing,54,"Understand the organization of computer networks.Explore the factors influencing computer network development.Recognize the reasons for having a variety of different types of networks.Focus on objectives such as resource sharing, high reliability, increased system performance, and network security.Aim to achieve resource sharing, high reliability, increased system performance, and network security as the main objectives.",introduction-to-ip-addressing-rlst,Fatema Tuj Johora
Operating System Concepts with Basic Scheduling Algorithms,72,"This course will familiarize you with general concepts and functionalities of operating systems.In this course, you will learn about various components of operating systems, such as functionality, basic services, file systems, etc.The course will acquaint you with fundamental concepts of operating systems, such as processes, memory management, file systems, etc.This course will teach you about different methods of process scheduling, including First-Come-First-Serve (FCFS) and Shortest Job First (SJF).Process Scheduling (Priority, RR): In this course, you will learn about various techniques of process scheduling, such as Priority and Round Robin (RR).",operating-system-concepts-with-basic-scheduling-algorithms-4aFD,Raja Tariqul Hasan Tusher
Journey to Programming Using C Language,83,Introduction to C Programming TerminologiesUnderstanding Syntax and Structure Hands-On Practice with Basic ExercisesBuilding a Foundation for Further Learning,journey-to-programming-using-c-language-aqCk,Md. Ashraful Islam Talukder
Fundamentals of Management,58,Acquire knowledge of key principles of management and be able to critically apply this knowledge to the analysis of a complex case study.Understand and apply a selected management topic to a real organizational settingHave a reflection on contemporary trends in management.Have a strong practical focus and also cover the latest research studies in the field.,fundamentals-of-management-iuxM,Nujhat Anjum Ani
A Brief Overview of the Constitution of Bangladesh,94,Understand the foundational principles of the Constitution of Bangladesh.Explore key constitutional concepts within the Bangladeshi context.Analyze and evaluate fundamental rights guaranteed by the constitution.Examine the dynamics of constitutional amendments.Critically evaluate existing constitutional shortcomings and propose recommendations for reform.,a-brief-overview-of-the-constitution-of-bangladesh-xLaR,Rafi Al Mahmud
The Fundamentals of Portrait Drawing,87,"Learn the fundamental techniques and principles of portrait drawing, including capturing facial features and expressions with accuracy and detail.Develop proficiency in using various drawing materials and tools effectively to create portraits with depth and realism.Gain a comprehensive understanding of the anatomy and structure of facial features such as eyes, nose, lips, ears, and hair, enabling you to depict them convincingly in your drawings.Master the use of light and shade to create volume, form, and dimension in your portraits, adding depth and realism to your artwork.Acquire the skills and confidence to approach portrait drawing with creativity and expressiveness, translating your observations and interpretations into captivating and evocative artworks.",portrait-drawing-PbhP,Dr. Md. Samaun Hasan
"Peptic Ulcer: Etiology, Prevention and Treatment",50,"Learn about the pharmacological interventions for managing gastric disorders, such as acid reflux, gastritis, and peptic ulcers.Learn about the classification and mechanisms of action of various painkillers and drugs used in peptic ulcers.Evaluate the effects of painkillers on the gastrointestinal mucosa.Explore strategies for minimizing gastric side effects associated with painkiller use.",peptic-ulcer-etiology-prevention-and-treatment-9ndf,Md. Shajib Khan
Linear Algebra Essentials: Navigating Systems of Equations,81,"Understand the foundational concepts of linear algebra, including vectors, matrices, and systems of equations.Learn how to represent and manipulate systems of linear equations using matrix operations and Gaussian elimination techniques.Gain proficiency in solving systems of equations using various methods such as substitution, elimination, and matrix inversion.Explore the geometric interpretation of linear equations and their solutions in n-dimensional space.Apply linear algebra concepts to real-world problems, including applications in engineering, physics, computer graphics, and data analysis.",linear-algebra-essentials-navigating-systems-of-equations-Io42,Shahadat Hossain
C Programming Fundamentals: Unlocking the Code for Everyone,84,"Master fundamental concepts of C programming, including variables, data types, and control flow.Develop proficiency in writing and executing C programs for solving computational problems.Learn best practices for organizing and structuring C code.Explore advanced topics like arrays, functions, pointers, and memory management.Acquire practical problem-solving skills through hands-on exercises.",c-programming-fundamentals-unlocking-the-code-for-everyone-XNIt,Mushfiqur Rahman
Understanding Graphs in Data Structure,89,Understand the fundamental concepts and terminology of graph theory.Learn how to create and interpret adjacency matrices for graph representation.Get a clear idea about how to construct and visualize graphs from adjacency matrices.Master the use of adjacency lists for efficient graph data management.Explore the complexities of directed weighted graphs and their applications.Develop practical skills for real-world problem-solving using graph concepts.,understanding-graphs-in-data-structure-lUz1,Md. Mubtasim Fuad
