Question,Answer,URL,Other Info
How can I withdraw academic transcripts/ certificate?,"Pay your required fees to the DIU accounts section or pay through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login",,
When I will be allowed for provisional certificate?,"After the completion of all required credits for the degree, you will be allowed for provisional certificate until the subsequent convocation ceremony.",,
How I get Internship letter?,"You must complete all courses to start internship while maintaining at least CGPA of 2.50.


Collect internship form from the department office. Fill up the form and get the required signatures.


Pay fees and take Accounts clearance


Submit the form to department office together with clearance receipt.",,
How can I login the google classroom?,First download the classroom apps from the google play store. Install the app to your mobile. Login by providing your g-mail ID and password.,,
Where can I find information about insurance?,"Contact to the office of the Director of Finance and Accounts


Cell No: +8801847334799,  Email: treasureroffice@daffodilvarsity.edu.bd",,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
How to check payment ledger from student portal?,Login to student portal and click “payment” option for student payment ledger and payment scheme.,,
What is the process of teaching evaluation?,"Login to student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website 
Officers: 
https://daffodilvarsity.edu.bd/administration


Teachers: 
http://faculty.daffodilvarsity.edu.bd/",,
How I can join in International Summer Programs?,Please contact International Affairs Office,,
How I can transfer credit with a foreign university?,Please contact International Affairs Office,,
What are the requirements to get Laptop from university?,You have to complete at least 4 semesterssuccessfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How can I change the Campus?,Contact Office of the Registrar.,,
How to solve Multimedia/ IT related Problem?,Contact department office.,,
How can I solve the Email password problem?,Contact department office.,,
How can I change Department/Program?,Collect the Department Change Form from Registrar Office. Fill-up and collect sign from respective Deans and Heads.Clear all dues and submit the form to Registrar Office for approval.,,
How may I get scholarship from foreign university?,Call for Applications for different scholarship opportunities are regularly posted in the Notice Board and social media Pages of DIU International Affairs. See the regular updates and check your student e-mail. Contact with the officials of the office of the DIU International Affairs for further information and clarifications.,,
How may I reserve class room for extra class?,Come to the department office and contact with coordination officer for booking class room.,,
How much do we need to pay in second (before mid-term) and third (before final) installment?,"You have already paid the registration fees in the beginning of the semester.  Now, multiply the 
no of credits
 you have registered in current semester with 
per credit tuition fees
 for your program. The result is the total amount you have to pay in two equal parts in the time of mid-term and final exams respectively. 


You can also askthe respective officers of the Account Section and/or you can check the Ledger inthe Students’ Portal.",,
When is the payment date?,The date of payment will be notified through online notice board and through the mail.,,
Where can I get my scholarship/waiver information?,You can get your scholarship/waiver information from the Registrar Office.,,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). Submit the photocopy of the GD to the Admission Section. The Admission Section will give you the further instructions.",,
How can I get my class routine of the semester?,"You can find your class routine in the departmental notice board, online notice board and in your email.",,
I cannot login in the student portal. How can I get access to the student portal?,The detailed information regarding the reset option of student portal password is given in the notice board of the department. Please follow the instructions.,,
How can I solve the Email password problem?,You need to pay Tk20/- to Account section and fill-up the register book from the department office for specific problem.Department office will send an e-mail to IT section to solve the problem and then inform you the solution.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
what is the deadlines for applying at DIU ?,Pls follow the deadlines url (Click Here),,
What are the tuition fees of Daffodil International University for study,"For local Students
For International Students",,
How do I know which program suits my interest?,"If you are a student of science background or you have a diploma in Electrical or Electronic or Computer science or related subjects, an Engineering degree will smooth your future career. If you are a technology freak, then a degree in Electrical and Electronic Engineering will be best compatible with you.",,
What is Electrical and Electronic Engineering (EEE)?,"Electrical and Electronic Engineering is concerned with defining the technologies required for our future needs, including communication, entertainment, energy and healthcare. Electrical and Electronic Engineers are involved in advances in medical technology, e-commerce, mobile telephones, wireless communications, renewable energy and the internet. This degree program provides students with a broad range of skills relating to all aspects of the design of electronic systems and devices. It combines coursework in different aspects of electrical and electronic engineering, as well as individual and group project work, where students design and build innovative electronic systems.",,
How can I get admitted to the EEE department?,The admission procedure of the department goes through a competitive written examination. Students having a minimum 2.5 GPA or second division both in SSC and HSC from a Science background or its equivalent background can apply. Selected students from the admission test can take admission to the department.,,
What is the difference between EE and other programs?,"EEE is the most demanding program and second largest department of the university. Since its establishment, the department has been flourishing day by day. The teacher-student interaction is quite spectacular and the course is designed to meet the demand of recent technological innovation.",,
Are your degrees accredited?,"The degree is approved by University Grants Commission (UGC). Within very short time, the degree is going to be approved by Institute of Engineers, Bangladesh (IEB).",,
Can I enter directly into year 2?,Students cannot admit directly into year 2. A student has to transfer his/her credits from his/her previous university/institute if he/she wants to admit into second year.,,
Do you offer part-time degrees?,Yes. The department runs an evening program for part-time students.,,
Who will be teaching me?,Qualified teachers graduated/post graduated from renowned universities of the country and abroad teach the students in a friendly and research-oriented environment.,,
What methods of teaching do you use?,The teaching procedure is a combination of theoretical and experimental knowledge. Teachers first take theoretical classes and then the related topics are practically verified in laboratories. The classrooms and laboratories are well equipped and students can also communicate with their teachers through Learning Feedback System (LFS).,,
Does the course include practical training as well as lectures?,Yes. The students get practical training in theory related laboratories.,,
Is all the teaching done in large classes?,"Our classes are very comfortable and well-equipped. The size of the class is also moderate and has the facility to accommodate only
 30 to 40 students.",,
How do you teach computing skills?,"The course curriculum is designed by considering the increased need for computer skills. The course contains programming languages like C, C++, MATLAB, Verilog HDL, and other required computer courses. The department has well-equipped computer Laboratories.",,
What is the workload like?,The workload depends on the credit hours of the student in a particular semester. Approximately a regular student has to take 12 to 15 credit hours in a semester.,,
How will I be assessed?,"The assessment of a student depends on several qualifications. In theoretical courses, assessment is based on attendance, class tests, assignments, presentation skills, midterm, and final examinations. The laboratory assessment consists of attendance, Laboratory reports, Laboratory performance, and a final Laboratory Quiz.",,
Where do students take their lectures?,The students take their lectures in scheduled classrooms according to the class routine. Students can also get lectures through learning feedback system (LFS).,,
Where do students do their practical work?,Students do their practical work in related laboratories.,,
What are the Computing Facilities like?,The department has well-developed computer laboratories with internet facilities. Students can use the laboratory computers for educational purpose.,,
Where can I do my own private studies?,Students can do own private studies in Library reading room. The library reading room is very comfortable and well-facilitated.,,
Do you have your own library?,Yes. Daffodil international university has a well-organized library. Students get the facility of taking books from the library. The library has also a reading room where students can make private study or group discussions.,,
How can I get help with my studies?,The teachers of the department are very friendly and research-oriented. Student can contact their respective course teachers if they face any difficulties. Student can also communicate through Learning Feedback System (LFS) and Forum with their course teachers.,,
What support is available in laboratory work?,The laboratories of the department are well-equipped. Those are designed by considering the demand of the respective theoretical classes and industries.,,
What support is available for project work?,The students get the lab facilities for their project work where teachers and lab assistant helps them to accomplish.,,
What role does my individual tutor play?,Every student has an academic advisor to discuss his/her academic and personal problems. The advisor helps the student to achieve academic and professional goals.,,
What personal support is available?,Every student has an academic advisor to discuss his/her academic and personal problems. The advisor helps the student to achieve academic and professional goals.,,
What is the intake capacity?,Intake capacity is 60 Seats.,,
How's the telecom job market?,"Despite increasing demand for telecommunications services, technological advances mean telecom companies need fewer workers. However, job opportunities will arise from the need to replace a significant number of workers who are expected to retire.
Communications companies largely promote from within. So if youâ€™re already employed in telecom, keep your eyes and ears open for opportunities. If youâ€™re new to telecom, prospects will be best for entry-level technical, customer service and sales professionals. In either case, rapid technological changes mean that up-to-date technical skills will serve you well. Adding new skills translates into job security and the opportunity to make more money.",,
What's the future of telecom?,"It's impossible to know exactly where the industry is headed, and no one can predict the millions of ways technology will change our lives. What we know for sure is that the future of telecom is bright. Here are trends to watch:
Demand for wireless will continue to boom as wireless capabilities are integrated into more and more products, such as cars. This will spur further development and continuing adoption of faster 4G and LTE networks.
Mobile devices will continue to evolve quickly. Weâ€™ll see more features built into smaller devices and brisk sales on new devices like wearables and phablets, which are part smartphone and part tablet.
Consumers will increasingly use their mobile devices to go online. Some predict that weâ€™ll have 26 billion connected devices around the world by 2020. Security will continue to be important as wireless capacity increases. Broadband will continue to be used to improve healthcare as patient/doctor eVisits redefine their relationships and bring significant savings.",,
Is it possible to be a researcher after completing the B Sc in NFE degree?,"Being a researcher, a continuous process, largely depends on your interest and patience. Graduating from the Department of NFE will open the prospect of your research career in myriad directions that includes but not limited to, Nutraceuticals, Food Development and analysis, Chemical Synthesis, Food Biotechnology, Nutritional Genomics and so on. Our well trained faculties will guide you to achieve your goals which definitely include this very special goal.",,
What is ethical marketing?,"Ethical marketing refers to the process by which companies market their goods and services by focusing not only on how their products benefit customers, but also how they benefit socially responsible or environmental causes. Practicing ethics in marketing means deliberately applying standards of fairness, or moral rights and wrongs, to marketing decision making, behavior, and practice in the organization. Those organizations that develop a competitive advantage are able to satisfy the needs of both customers and the organization.",,
How marketing is related to Nutrition and Food engineering?,"Marketing is a priority for the success of any business, from small-scale, independent farms to multinational food manufacturers. Food marketing takes many forms and can involve building relationships with customers, raising brand awareness, developing new products, promoting them through advertising, and even paying grocery stores for prominent shelf space, all with the goal of promoting sales. For better and for worse, food marketing may have a powerful effect on what people eat—and ultimately their health.",,
Who will lead Nutraceutical industries?,"Scientists, Dietary Supplement Industries, and Pharmaceutical companies are already working on diversified prospective sectors of Nutraceuticals. Food companies could also be contenders. Their marketing and product development expertise is top shelf, and they have excellent distribution systems.",,
What to study in Nutraceuticals?,"Nutrition-related problems in the food, pharmaceutical and natural health product industries. Focus on the contribution of dietary intake to the growth and maintenance of biological functions. Understand how nutrients, phytochemicals, toxins and food processing products affect the body.",,
Does a degree in NFE allow to build a career in Clinical Nutrition sector?,"The NFE curriculum includes courses such as Human Nutrition, human physiology, dietetics and clinical nutrition which helps build a strong base of knowledge that can be used in management of patients, in outpatients at clinics, and mainly inpatients in hospitals through appropriate diet modification. During the final semester, students interested in this sector are sent for placement at the dietetics department of various hospitals to help receive on-field training in medical nutrition therapy. Through proper learning, an NFE graduate has the potential to be well equipped with expertise in combating pressing health conditions of our society such as malnutrition and various metabolic and stress related diseases.",,
What is Nutrition and Food Engineering?,"The B.Sc. degree in Nutrition and Food Engineering covers the full educational spectrum of nutrition, food science, food engineering and food technology with a focus on principal four themes: introduction of innovative food products, food processing, food quality plus safety, and nutrition. It is a cutting edge discipline which utilize the expertise from chemistry, biology, physical sciences and engineering. The department using this knowledge to study the nature of foods, the principles underlying food processing, the causes of their deterioration, their nutritional composition and health benefits.",,
Why NFE in Daffodil International University?,"Daffodil International University is one of the leading private Universities of Bangladesh offering B.Sc. in Nutrition and Food Engineering since 2009. In our B.Sc. program, we offer various courses of specialization, which covers both the field of nutrition and food engineering. Most of our faculties have educational background from abroad and also have industrial experiences in Bakery, Beverage, Frozen Food, R&D, Nutritional Assessments and Quality control.


NFE in DIU has over 12 years of experience in running the programme and has established partnerships with local and multinational food companies, shown through their support in terms of job placement and research collaboration. Our successes of this programme could be visible by the achievements of our alumni who are now in the main workforce in national and international platform. For more evaluation, students are encouraged to look at the curriculum offered by different Universities and the Department of Nutrition and Food Engineering of DIU.",,
What are the job opportunities after graduation from the program?,"Graduates can look forward to specialized operational and managerial careers in food product development, processing, quality assurance and food safety regulation in the food industry or manufacturing companies as well as a nutritionist, dietitian and health specialist in the NGO and public or government sectors.


Specific roles related to NFE may include but not limited to the Food Quality Assurance/Quality Control, Food Product Developer, Food Manufacturing Engineer, Food Process Engineer, Food Analytical Chemist, Food Regulatory Specialist, Microbiologist, Sensory Specialist, Safety Specialist, Packaging Specialist, Supply Chain Management, Technical Sales and Marketing, Dietitian, Nutrition Advisor, Health Specialist, Project/Product Management, Food Researcher, Teacher, Journalist, cold chain management specialist and so on. Most of these jobs are in demand and provided in food and allied industries, government and non-government organizations and in education. Moreover, you can also start your own food business which will be supported by the Daffodil Business Incubator of the Daffodil International University.",,
What is the eligibilty for CSE admission in DIU ?,"General Student


Students having a minimum 2.5 GPA both in Secondary School Certificate (SSC) and Higher Secondary Certificate (HSC) 12 class passed Equivalent from Science with minimum grade in Physics, Mathematics and English may apply for admission.


For Diploma Holder:


Students having a minimum 2.5 GPA both in SSC and Diploma from Computer Technology may apply for admission.


 


English Medium Student


Students completing five O-level subjects and at least two A-level subjects may apply. Out of these 7 subjects, applicants must have a minimum 4 ""B""grade & 3 ""C"" grade. The applicants must have Physics and Mathematics both at O-level and A-level.",,
Why you admit in THM?,"Reason to Study Tourism and Hospitality Management:




Tourism is the world's largest industry with revenues of over $500 billion.


This program links business principles with the principles and practice of modern tourism. The program goes further to explore issues such as ecotourism and sustainable development. Students holding this qualification will be confident in applying key business and management concepts to this growing sector.


The hospitality industry is one of the world’s most dynamic industries and continues to grow year after year.  The World Travel Organization predicts that it will triple in size by the year 2020, becoming one of the largest industries in the world. This growth will provide many employment opportunities for people with the right qualifications, and DIU will provide exactly the type of education and skills that the future hospitality managers should understand.


For the last 100 years, there has been a substantial shift from the primary and secondary sectors to the tertiary sector in industrialized countries. The tertiary sector is now the largest sector of the economy in the Western World and is also the fastest-growing sector in Bangladesh, with its wonderful natural beauty, gorgeous history and booming economy. This holds out needs and opportunities for imparting education for tourism and hospitality industry.",,
Career Opportunities.,"Careers exist for graduates from hospitality-related disciplines in managing hotels, restaurants, public houses, conference centers, accommodation and catering operations, as well as in customer services' management across a range of industries.


The leisure industry also covers sport and entertainment as additional avenues of employment in sport and fitness centers, cinemas and theatres as well as other leisure venues such as bowling alleys and theme parks. Other customer service-focused roles in retailing, human resources management and events management may also be of interest.


Careers like travel agency manager or travel consultant, tour manager, guide or holiday representative or tourism officer may be of interest to many.


May become an entrepreneur in the service industry like Tour Entrepreneur, Club Entrepreneur, Travel Consultant, Events Manager, Restaurant / Hotel Owner etc.",,
Career and Market Prospects of BTHM,"Currently 48,000 jobs are available in Bangladesh and 18.4 lacks jobs will be created by 2022.


According to The World Travel and Tourism Couuncil ‘Bangladesh tourism sector accounted for BDT. BDT840.2bn in 2016 and forecast to rise it by BDT1,783.0bn by 2027 or equivalent to 4.7 percent of Bangladesh’s gross domestic product. 


Bangladesh Travel and Tourism industry ranked 61 in absolute size worldwide, 173 in relative contribution to national economies and Bangladesh will occupy the 6th position within 10- year period.


BTHM degree supports more than 292 million jobs worldwide and generates 10.2 percent of global GDP


The sector accounted for 6.6% of total global exports and almost 30% of total global service exports.


Tourism is the world's largest industry with revenues of overUS$7.6 trillion.",,
Do I have any installment facilities for course registration fees?,"Yes, there have installment facilities for course registration fees.  The university accepts 3 (Three) installment in every semester. First installment at the time of registration, second installment before mid-term exam and third installment must be paid before final examination.",,
Shall I get career counseling or job placement?,"Yes, you shall get career counseling anytime whenever you need. Daffodil International University has Career Development Centre (CDC) which helps students by counseling for their career or job placement.",,
Does the department have approval of the Government?,"Yes, the department has the approval of the University Grand Commission (UGC) of the Peoples Republic of Bangladesh under the reference of BMK/BB/359(2/1047) on Spring 2008.",,
Is there any other university with Real Estate department in Bangladesh?,No. There is no university with Real Estate department in Bangladesh so far. Daffodil International University (DIU) is the only university that has opened such a unique department in Bangladesh.,,
Why Software Engineering is GOOD?,"The world is almost a technology each and everyside you look and that is because of software engineer or software engineering it self


Is the easiest way you can develope a meaningfull software that makes you well-known when you add interesting software to the wolrd",,
How do I complete course registration in the semester? (For new Students).,"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up Student Insurance Form (given during the admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal 
(http:
/
/studentportal.diu.edu.bd/login) 
to be sure about your registration.",,
Do you have any waiver facilities?,"Yes we do. Please visit this link for details: 
https://daffodilvarsity.edu.bd/scholarship",,
How can I get a waiver as a new student?,"New students can enjoy our offered waiver like result based, need based, relationship quota, freedom fighter quota, tribal quota, disablity quota & talent hunt scholarship",,
Am I eligible to get a waiver?,Result with 4.50 (for Social Science) and 4.75 (for all faculty) for male & 4.00 for female in HSC can get a waiver.,,
How many waivers can I enjoy?,One students is eligible to get waiver maximum in one category. If eligible for more than one then highest percentage.is provided.,,
Who qualifies for a waiver?,We offer waiver on the basis of HSC (or equivalent) result. Students having result with 4.50 (for Social Science) 4.75 (for all faculty) for males & 4.00 for females in HSC can get a waiver.,,
What is the waiver for both GPA Golden 5?,"75% and student must maintain semester result 3.50 (except CSE, LLB & B.pharm programs)",,
what is the waiver for Golden 5 in HSC?,"50% and student must maintain semester result 3.25 (except CSE, LLB & B.pharm programs)",,
what is the waiver for both GPA  5?,"35% and student must maintain semester result 3.25 (except CSE, LLB & B.pharm programs)",,
what is the waiver for  5 in HSC?,"25% and student must maintain semester result 3.00 (except CSE, LLB & B.pharm programs)",,
Do you provide waiver for below GPA 5.00 in HSC,"Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC . For details please visit the link: 
https://daffodilvarsity.edu.bd/scholarship",,
"If I am not eligible to get waiver on SSC and HSC result, meanwhile i get into financial crisis during my degree is there any way to get any support?","Yes. We offer Need Based Waiver for those students who get into an unfortunate financial crisis. Such Student can apply for financial aid from second semester through online. See the link. 
http://financialaid.daffodilvarsity.edu.bd/?app=home",,
Do you have siblings quota waiver?,Yes same parental sibling get waiver. Each will get 20% tution fees waiver and students have to maintain semester result 3.00,,
Is there any waiver for Spouse?,Yes we offer 20% waiver for Spouse. Couple has to fill a prescribed waiver form with marriage certificate during their admission,,
How much waiver can a tribal get from DIU?,Tribal students will get 15% tuition fees waiver and students have to maintain semester result 3.00,,
Do you have any waiver facilities for physically challenged student?,Yes. Physically challeged student will get 25% tuition fees waiver and  students have to maintain semester result 3.00,,
Do you have semester result based waiver?,Yes we do. Students can enjoy 10%-50% tuition fees waiver based on their semester result.,,
How much waiver can I get if I do well in semester result?,"Students having 3.80-4.00 for FBE,FSIT,FE faculty will get 10%-50% and 3.60-4.00 for FHSS faculty will get 10%-50% tuition fees waiver.",,
How can I get a additional waiver?,"Students can not get waiver more than one category. But those without having any kind of waiver can apply for financial aid with prescribed form.


Link: 
http://financialaid.daffodilvarsitye.edu.bd",,
Do I have to submit a separate waiver form in every semester?,No you don't have to fill form in every semester. It will generate automatically.,,
"I have a problem with my waiver, whom can I talk with?",Please contact to the duty officer of Admission office and Registrar office.,,
My waiver is approved but why it's not showing in the student portal?,You have to wait till it's update by the accounts section. If it's not updated within a semester then contact with duty officer of accounts section.,,
Can a student from Daffodil Int. College get a waiver?,DIU offers 20% tuition fees waiver for the students of Daffodil International College/Eminenance College/ Human Development College.They will get 30 % tuition fees waiver for their improved result in HSC than SSC examination.,,
How much one can get from need based waiver quota?,"Students who are not financially very sound may apply for TFW by applying in a prescribed Financial Aid Form and undergo an interview with the waiver/scholarship committee. The committee may grant 10-50% TFW case by case depending on the financial crisis of the students.


http://financialaid.daffodilvarsity.edu.bd/?app=home",,
Is there any waiver for Employees' Or their Spouse/ Siblings/Ward?,Yes. DIU employees or their first blood relatives will get 50% tuition fee exemption. They will have to maintain a GPA 3.00. No restriction will be imposed in taking courses on the employees of DIU. The waiver will be effective only if the employee gained one year working experience from DIU otherwise the waiver will not be enjoyable. DIU employees must serve at DIU at least for 2 years after completion of degree. Otherwise they have to return half of the benefit received while quitting the service. The employee will have to submit a Letter of Commitment in Stamp Paper in this regard.,,
"If I am getting waiver in one category, may I get waiver in another category?",The students who are already enjoying waiver benefit in any category could not apply for further waiver benefit.,,
What happened to my waiver if i change department?,"In case of transferred students from one program to another, to retain the received waiver benefit students have to fill a Form again after changing their Program.",,
Will I get waiver on total Fees?,"Waiver benefit is applicable only for tuition fee and not applicable for Admission fee, Semester fee, Library fee, Lab fee, Extra Curricular activities fee, Improvement, Retake, Project/ Dissertation/Internship etc.",,
Is there any waiver for the Siblings of DIU Alumni?,10% tuition fee exemption will be given for DIU Alumni or their first blood relatives and for enjoying the benefit they will have to maintain a SGPA 3.00.,,
Is there any waiver quota for the players?,"Yes. The national player will get Full free scholarship, Premier division players will avail 90% and First division player will avail 80% tuition fee waiver (from any back ground or event) excluding other fees until special consideration or recommendation and students have to maintain semester result 2.50",,
What is the waiver facilities for DIPTI (BM) college?,The Alumnus of DIPTI (BM) college will get 15% tuition fee waiver if pre BBA/HSC result is less then SSC result and 25% tuition fee waiver if pre BBA/HSC result is better then HSC result.,,
What is the waiver facilities for the alumnus of Daffodil Polytechnic Institute (DPI)?,4 years Diploma alumunus of Daffodil Polytechnic Institute (DPI) will get 20% tuition fees waiver and have to maintain semester result 3.00,,
"I applied for financial aid but it's declined, what can I do?",Please find out the reason for decline and try to apply again with improved result.,,
How long does it take for a waiver to be approved?,Waiver will be approved within the semester final exam.,,
What are the deadlines for submitting a waiver form?,Students need to submit waiver form before registration to be approved in time.,,
What options do I have if my waiver is denied?,You can seek considereation of authority and can apply again after overcoming your lackings,,
What is the waiver facilities for the alumnus of Bangladesh Skill Development Intitute (BSDI)?,All the alumunus of  Bangladesh Skill Development Intitute (BSDI) will get 20% tuition fees waiver and have to maintain semester result 3.00,,
Is there any waiver for credit transfer students?,No. Credit transferred students can not apply for any waiver facilities. Only waiver schemes on SGPA  of previous semester will be effective for them.,,
I am a diploma holder. Can I get any waiver on diploma result?,Diploma holders admitted in Day programs will get 15-75% waiver based on their Diploma result.,,
How can I apply for financial aid on need based?,"Students must have to apply for through online financial aid form on following link by paying of Tk.102/- only


Link: 
http://financialaid.daffodilvarsitye.edu.bd",,
What are the conditions to apply for financial aid,"a) Student completing minimum 1st semester with minimum SGPA 3.00 and not enjoying any waiver  and facing financial  crisis are eligible for financial aid; b) Considering low cost  programs, need based waiver may not be offered to the students ofB.com (Honors), BA. (Honors) in English, Evening programs and other similar programs (except  for Freedom Fighter quota)",,
I am getting waiver on HSC result/ need based/ Freedom Fighter quota/ Female/Sibling/spouse/Others quota. I failed to maintain required SGPA in last semester.  What can I do,"Your waiver be stopped only for current semester.  But if you achieve the required SGPA  with required credits in current semester, Your waiver will be continued  for next  semester automatically",,
I have achieved the required SGPA in last semester to have waiver on tuition fees. What should I do to enjoy the waiver?,"This category of waiver implemented automatically by the system with approval of concern personnel. Though you face any problem  in paying of tuition fees, you can  contact in Accounts section or Registrar Office",,
"If I can get opportunity to have waiver on more than one category,  which one do I get",You can enjoy the category in which percentage of waiver is the highest. You cannot enjoy waiver on more than one category,,
"I dropped last semester and have registered for the current semester,  will my waiver stopped?","If you maintained SGPA 3.00/required SGPA with minimum 18 credits for Undergraduate programs and 12 credits for Masters programs on last registered semester,  your waiver will be continued automatically after Registration.",,
I took below 18 credit last semester which offered by the Department.  Will my waiver be continued or not?,If below 18 credit offered by the Department and others conditions are OK then the waiver of students(s) will be continued,,
I am enjoying waiver on sibling/spouse quota. My sibling/spouse completed his/her Degree in current semester.  What will be happened to my waiver,"Sibling/spouse quota waiver will be discontinued on completion of the Degree/Internship of one of the sibling/spouses. In case of completion of degree of one sibling/spouse, other sibling/spouse may apply for 1st blood of Alumni quota waiver with proper documents. For details please see the link


Link: 
http://daffodilvarsity.edu.bd/scholarship",,
I have a big amount  of dues. Can I apply for financial aid to reduce it/ financial aid is applicable for dues?,Financial aid  is applicable only on tuition fees of  current and upcoming semester (s),,
I am a Cricket/Football/Badminton/Others player. Is their any waiver for player for player in DIU?,"DIU provides waiver on player quota. For details please visit the link


Link: 
http://daffodilvarsity.edu.bd/scholarship",,
I am a Female student of Evening shift.  Can I enjoy waiver on female quota,Female quota waiver is only applicable for female students of day programs except Diploma holders,,
What will happen  to my waiver in case of changing campus,"In case of transferred students from one campus to another, to retain the received waiver benefit students have to apply again after changing their campus.",,
Are credit transferred students eligible for semester SGPA waiver?,"Yes, Credit transferred students are only eligible to enjoy waiver on SGPA.",,
Do DIU provides any insurance facilities,"Yes, DIU Initiated two insurance policies to support students. 1. Student life insurance and 2. Guardian Life insurance


Link: 
https://daffodilvarsity.edu.bd/article/life-insurance",,
How do I complete course registration in the semester? (For new Students),"At first, you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled-up 
Student Insurance Form
 (given during the admission). Then you have to submit your account clearance form and insurance form to the department office to complete your registration. After the registration, you have to check the student portal (http://studentportal.diu.edu.bd/login) to be sure about your registration.",,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your account clearance from the Account Section by paying the fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
